hash_id,product_title,product_description,product_photo
04ecb1fa28506ccb6f72b12c0245ddbc,لپ تاپ سونی وایو اس آر 590 جی آر بی,,"[233, 1, 220, 180, ""jpg"", [3], []]"
b2eeb7362ef83deff5c7813a67e14f0a,لپ تاپ سونی وایو اس آر 590 جی ان بی,,"[18, 1, 220, 180, ""jpg"", [3], []]"
d490d7b4576290fa60eb31b5fc917ad1,لپ تاپ سونی وایو اس آر 590 جی جی بی,,"[174, 1, 220, 180, ""jpg"", [3], []]"
b2f627fff19fda463cb386442eac2b3d,لپ تاپ سونی وایو اس آر 590 جی ای بی,,"[56, 1, 220, 180, ""jpg"", [3], []]"
c3992e9a68c5ae12bd18488bc579b30d,لپ تاپ سونی وایو اس آر 590 جی پی بی,,"[6, 1, 220, 180, ""jpg"", [3], []]"
d86ea612dec96096c5e0fcc8dd42ab6d,لپ تاپ سونی وایو اس آر 590 جی اس بی,,"[212, 1, 220, 180, ""jpg"", [3], []]"
dc82d632c9fcecb0778afbc7924494a6,لپ تاپ سونی وایو اف دبلیو 490 جی جی بی,,"[76, 1, 220, 180, ""jpg"", [3], []]"
996a7fa078cc36c46d02f9af3bef918b,لپ تاپ سونی وایو اف دبلیو 590 اف 2 بی,,"[198, 1, 220, 180, ""jpg"", [3], []]"
d7a728a67d909e714c0774e22cb806f2,لپ تاپ سونی وایو اف دبلیو  518 دی اچ,,"[""d6cdb7c3d07a87d3936ee2cbd81d42fd1e5a3f35_1672665433"", 1, 2500, 2500, ""jpg"", [3], []]"
00ac8ed3b4327bdd4ebbebcb2ba10a00,لپ تاپ سونی وایو اف دبلیو  510 دی تی,,"[""f22aaeec94c107369040df4ab436b73ab257878b_1672663972"", 1, 2500, 2500, ""jpg"", [3], []]"
f29c21d4897f78948b91f03172341b7b,لپ تاپ سونی وایو سی دبلیو  18 اف ایکس,,"[1715, 1, 220, 180, ""jpg"", [3], []]"
851ddf5058cf22df63d3344ad89919cf,گوشی موبایل اچ تی سی اسمارت,,"[142, 1, 180, 220, ""jpg"", [3], []]"
58d4d1e7b1e97b258c9ed0b37e02d087,لپ تاپ سونی وایو زد 540 سی 3,,"[39, 1, 220, 180, ""jpg"", [3], []]"
7750ca3559e5b8e1f44210283368fc16,گوشی موبایل اچ تی سی اچ دی 2,,"[2, 1, 180, 220, ""jpg"", [3], []]"
45645a27c4f1adc8a7a835976064a86d,لپ تاپ سونی وایو زد 710 دی بی,,"[1331, 1, 220, 180, ""jpg"", [3], []]"
185c29dc24325934ee377cfda20e414c,لپ تاپ سونی وایو زد 790 دی بی,,"[108, 1, 220, 180, ""jpg"", [3], []]"
9cc138f8dc04cbf16240daa92d8d50e2,لپ تاپ سونی وایو زد 540 ان سی بی,,"[761, 1, 220, 180, ""jpg"", [3], []]"
b7bb35b9c6ca2aee2df08cf09d7016c2,لپ تاپ سونی وایو زد 540 ان اف بی,,"[139, 1, 220, 180, ""jpg"", [3], []]"
abd815286ba1007abfbb8415b83ae2cf,لپ تاپ سونی وایو زد 540 ان ام بی,,"[1120, 1, 220, 180, ""jpg"", [3], []]"
6766aa2750c19aad2fa1b32f36ed4aee,گوشی موبایل اچ تی سی تَتو,,"[195, 1, 180, 220, ""jpg"", [3], []]"
c5ab0bc60ac7929182aadd08703f1ec6,گوشی موبایل اچ تی سی تاچ 2,,"[58, 1, 180, 220, ""jpg"", [3], []]"
a532400ed62e772b9dc0b86f46e583ff,گوشی موبایل اچ تی سی هیرو,,"[1341, 1, 180, 220, ""jpg"", [3], []]"
4c27cea8526af8cfee3be5e183ac9605,لپ تاپ سونی وایو پی 530,,"[4, 1, 220, 180, ""jpg"", [3], []]"
0f96613235062963ccde717b18f97592,گوشی موبایل اچ تی سی مجیک,,"[218, 1, 180, 220, ""jpg"", [3], []]"
291597a100aadd814d197af4f4bab3a7,گوشی موبایل اچ تی سی تاچ پرو 2,,"[119, 1, 180, 220, ""jpg"", [3], []]"
9b698eb3105bd82528f23d0c92dedfc0,گوشی موبایل اچ تی سی تاچ دایموند 2,,"[157, 1, 180, 220, ""jpg"", [3], []]"
8c7bbbba95c1025975e548cee86dfadc,گوشی موبایل اچ تی سی دیریم,,"[7, 1, 180, 220, ""jpg"", [3], []]"
5e9f92a01c986bafcabbafd145520b13,لپ تاپ سونی وایو ای دبلیو 310 دی اچ,,"[""4edbc2a312156164fd2d4b089445d8d6cb80e5bc_1674395272"", 1, 2500, 2500, ""jpg"", [3], []]"
443cb001c138b2561a0d90720d6ce111,لپ تاپ سونی وایو سی اس 320,,"[1431, 1, 220, 180, ""jpg"", [3], []]"
30ef30b64204a3088a26bc2e6ecf7602,لپ تاپ سونی وایو ان اس 330,,"[""8005cb9f98ee3df56de41c9753c84cd90e4be630_1674393267"", 1, 2500, 2500, ""jpg"", [3], []]"
ab233b682ec355648e7891e66c54191b,لپ تاپ سونی وایو ان اس 240,,"[""184035c11f466d978ac72af87dbdef601615ac29_1674393281"", 1, 2500, 2500, ""jpg"", [3], []]"
2f37d10131f2a483a8dd005b3d14b0d9,لپ تاپ سونی وایو ان اس 110,,"[""70a51b04cc4f79bf3a7389802e5bf3924bb49e56_1674393348"", 1, 2500, 2500, ""jpg"", [3], []]"
0ff8033cf9437c213ee13937b1c4c455,لپ تاپ سونی وایو ان اس 115,,"[1355, 1, 220, 180, ""jpg"", [3], []]"
68264bdb65b97eeae6788aa3348e553c,لپ تاپ سونی وایو ان اس 135,,"[""47f3e8622f0716de246bb2737a114df0ed876837_1674393359"", 1, 2500, 2500, ""jpg"", [3], []]"
8757150decbd89b0f5442ca3db4d0e0e,لپ تاپ سونی وایو ان اس 190,,"[""165f320434c5f27610facf935bf00d82143c7799_1674393376"", 1, 2500, 2500, ""jpg"", [3], []]"
b5dc4e5d9b495d0196f61d45b26ef33e,لپ تاپ اچ پی دی وی 2-1025,,"[182, 1, 220, 180, ""jpg"", [3], []]"
192fc044e74dffea144f9ac5dc9f3395,لپ تاپ اچ پی دی وی 2-1005,,"[1410, 1, 220, 180, ""jpg"", [3], []]"
5c04925674920eb58467fb52ce4ef728,لپ تاپ اچ پی دی وی 2-1110,,"[1447, 1, 220, 180, ""jpg"", [3], []]"
2dea61eed4bceec564a00115c4d21334,لپ تاپ اچ پی دی وی 3-2005,,"[""80dffd56670d9a734d93fb9f74bb35d7769b5337_1674393385"", 1, 2500, 2500, ""jpg"", [3], []]"
0d7de1aca9299fe63f3e0041f02638a3,لپ تاپ اچ پی دی وی 3-2007,,"[""860aeba67664dd3e015f446721c5122b27222c87_1674393391"", 1, 2500, 2500, ""jpg"", [3], []]"
dc6a70712a252123c40d2adba6a11d84,لپ تاپ اچ پی دی وی 3-2025,,"[""6b569c25934fe5d1e024a80af527d8394df40395_1674393397"", 1, 2500, 2500, ""jpg"", [3], []]"
24681928425f5a9133504de568f5f6df,لپ تاپ اچ پی دی وی 3-2270 تاچ,,"[""5f994d647e868ef390686165a3aa9d51e96f9341_1674393429"", 1, 2500, 2500, ""jpg"", [3], []]"
556f391937dfd4398cbac35e050a2177,لپ تاپ اچ پی دی وی 3-2115,,"[""45eb8e739e13e7cb5759e9c28ec6a80a68b8710c_1674393445"", 1, 2500, 2500, ""jpg"", [3], []]"
3328bdf9a4b9504b9398284244fe97c2,گوشی موبایل موتورولا بک فیلیپ,موتورولا بک فیلیپ یک گوشی 3G و از خانواده‌ی Motorola DEXT MB220 Smartphone می‌باشد، که در بعضی از کشورها با نام Motorola Motus نیز شناخته شود. موتورولا بک فیلیپ از سیستم عامل Android نسخه‌ی 1.5 و واسط کاربری MOTOBLUR بهره می‌برد که دارای ویژگی‌های گرافیکی و جذابی می‌باشد و به راحتی ارتقاء می‌یابد. از ویژگی‌های اصلی این گوشی می‌توان به سیستم باز شدن Back Flip، نمایشگر لمسی 3.1 اینچی، فن‌آوری WiFi® و دوربین 5 مگاپیکسلی اشاره کرد.,"[1562, 1, 180, 220, ""jpg"", [3], []]"
07a96b1f61097ccb54be14d6a47439b0,گوشی موبایل اچ تی سی تاچ کروز 09,,"[1517, 1, 180, 220, ""jpg"", [3], []]"
e555ebe0ce426f7f9b2bef0706315e0c,لپ تاپ اچ پی دی وی 4-1050,,"[""4511751474562496304586dd00aaf0896ee859d9_1674393497"", 1, 2500, 2500, ""jpg"", [3], []]"
53e3a7161e428b65688f14b84d61c610,لپ تاپ اچ پی دی وی 4-1070,,"[""beb97d3864a9505f9e03d83d1995c97bea112af3_1674393512"", 1, 2500, 2500, ""jpg"", [3], []]"
e5841df2166dd424a57127423d276bbe,لپ تاپ اچ پی دی وی 4-1430,,"[""317fdc2d1403c9e536fb8183a0327dbfd25467b1_1674393624"", 1, 2500, 2500, ""jpg"", [3], []]"
50c3d7614917b24303ee6a220679dab3,گوشی موبایل اچ تی سی مکس 4 جی,,"[211, 1, 180, 220, ""jpg"", [3], []]"
5f2c22cb4a5380af7ca75622a6426917,لپ تاپ اچ پی دی وی 4-2045,,"[""87002af4a67f74a1eb3fd71853e069eba4d19e09_1674393683"", 1, 2500, 2500, ""jpg"", [3], []]"
c8ed21db4f678f3b13b9d5ee16489088,گوشی موبایل اچ تی سی تاچ ویوا,,"[128, 1, 180, 220, ""jpg"", [3], []]"
7f1171a78ce0780a2142a6eb7bc4f3c8,لپ تاپ اچ پی دی وی 5-1388,,"[""bfbe9aeb969a59b7dd20be42ff49c29756615673_1674393701"", 1, 2500, 2500, ""jpg"", [3], []]"
82f2b308c3b01637c607ce05f52a2fed,گوشی موبایل اچ تی سی تاچ 3 جی,,"[1583, 1, 180, 220, ""jpg"", [3], []]"
fb89705ae6d743bf1e848c206e16a1d7,لپ تاپ اچ پی دی وی 5-1155,,"[""0d1323216321e7c0c3b9807282b1aad53a564636_1674393733"", 1, 2500, 2500, ""jpg"", [3], []]"
d5cfead94f5350c12c322b5b664544c1,گوشی موبایل اچ تی سی تاچ اچ دی,,"[1635, 1, 180, 220, ""jpg"", [3], []]"
ba3866600c3540f67c1e9575e213be0a,لپ تاپ اچ پی دی وی 5-1235,,"[""d3aff3ac33c0da56348a939b78d527c35ac5fc48_1674393757"", 1, 2500, 2500, ""jpg"", [3], []]"
6c29793a140a811d0c45ce03c1c93a28,گوشی موبایل اچ تی سی اس 740,,"[1626, 1, 180, 220, ""jpg"", [3], []]"
e995f98d56967d946471af29d7bf99f1,لپ تاپ اچ پی دی وی 5-1205,,"[""18d4f933bec712c68c3a8eafe079b471fff3b3ae_1674393762"", 1, 2500, 2500, ""jpg"", [3], []]"
6bc24fc1ab650b25b4114e93a98f1eba,لپ تاپ اچ پی دی وی 5-1215,,"[""550f777735ab62a93967daa3e910a2cac80df32c_1674386103"", 1, 2500, 2500, ""jpg"", [3], []]"
df263d996281d984952c07998dc54358,گوشی موبایل اچ تی سی تاچ پرو,,"[258, 1, 180, 220, ""jpg"", [3], []]"
edfbe1afcf9246bb0d40eb4d8027d90f,کانن آی-سنسیس ام اف 4380 دی ان,,"[322, 1, 220, 180, ""jpg"", [3], []]"
2e65f2f2fdaf6c699b223c61b1b5ab89,گوشی موبایل اچ تی سی تاچ دایموند,,"[276, 1, 180, 220, ""jpg"", [3], []]"
e94550c93cd70fe748e6982b3439ad3b,گوشی موبایل اچ تی سی پی 3470,,"[1462, 1, 180, 220, ""jpg"", [3], []]"
5c572eca050594c7bc3c36e7e8ab9550,گوشی موبایل اچ تی سی ادونتیج ایکس 7510,,"[306, 1, 180, 220, ""jpg"", [3], []]"
0537fb40a68c18da59a35c2bfe1ca554,گوشی موبایل اچ تی سی تاچ کروز,,"[1482, 1, 180, 220, ""jpg"", [3], []]"
8d317bdcf4aafcfc22149d77babee96d,لپ تاپ اچ پی دی وی 6-1330,,"[""3e86bb1a10af0150ad2b1c0e5477e8250a5f5f43_1674386109"", 1, 2500, 2500, ""jpg"", [3], []]"
